seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lat,lng,geometry,distance
,,"Tulsa, OK",,1985545,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),108.21363651840421
,,"Dayton, OH",,1985546,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),160.3851767286751
,,"Salt Lake City, UT",,1985547,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),2355.2974840870443
,,"Atlanta, GA",,1985548,,,,,,,"Atlanta, GA",-84.39018490000001,33.749098700000005,POINT (33.7490987 -84.39018490000001),1.7582987037959068
,,"Houston, TX",,1985549,,,,,,,"Houston, TX",-95.36769740000001,29.7589382,POINT (29.7589382 -95.36769740000001),474.2189635563387
,,"South Bend, IN",,1985550,,,,,,,"South Bend, IN",-86.2500066,41.68338129999999,POINT (41.68338129999999 -86.25000660000001),573.8799329506094
,,"Albuquerque, NM",,1985551,,,,,,,"Albuquerque, NM",-106.6509851,35.0841034,POINT (35.0841034 -106.6509851),1821.113346351128
,,"Atlanta, GA",,1985552,,,,,,,"Atlanta, GA",-84.39018490000001,33.749098700000005,POINT (33.7490987 -84.39018490000001),461.4088767218104
,,"Houston, TX",,1985553,,,,,,,"Houston, TX",-95.36769740000001,29.7589382,POINT (29.7589382 -95.36769740000001),1091.94401665046
,,"South Bend, IN",,1985554,,,,,,,"South Bend, IN",-86.2500066,41.68338129999999,POINT (41.68338129999999 -86.25000660000001),584.3023179184753
,,"Albuquerque, NM",,1985555,,,,,,,"Albuquerque, NM",-106.6509851,35.0841034,POINT (35.0841034 -106.6509851),1739.3008191971464
,,"Hartford, CT",,1985556,,,,,,,"Hartford, CT",-72.6908547,41.764582,POINT (41.764582 -72.6908547),930.9292585161957
,,"Tulsa, OK",,1985557,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),840.5126154383106
,,"Dayton, OH",,1985558,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),725.868192332214
,,"Salt Lake City, UT",,1985559,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),352.8954102042558
